210,-2.434,-37,205,1,1
148,0,0,0,-1,1
45,1.05,-107,127,1,1
68,-1.455,-60,212,-1,1
36,1.756,-60.5,240,1,1
48.4,1.2,-87,302,1,-1
163,0.83,-37,223,-1,1
107,0,0,382.5,-1,-1
210,-2.434,37,205,-1,1
148,0,0,0,1,1
45,1.05,107,127,-1,1
68,-1.455,60,212,1,1
36,1.756,60.5,240,-1,1
48.4,1.2,87,302,-1,-1
163,0.83,37,223,1,1
107,0,0,382.5,1,-1
